/m/011k07,Tortoise,100
/m/012074,Magpie,16
/m/0120dh,Sea turtle,100
/m/01226z,Football,37
/m/012n7d,Ambulance,6
/m/0138tl,Toy,-1
/m/014j1m,Apple,53
/m/01599,Beer,47
/m/01_5g,Chopsticks,-1
/m/015p6,Bird,16
/m/015qff,Traffic light,10
/m/015wgc,Croissant,-1
/m/015x4r,Cucumber,-1
/m/015x5n,Radish,-1
/m/0162_1,Towel,-1
/m/016m2d,Skull,-1
/m/0174k2,Washing machine,-1
/m/0174n1,Glove,96
/m/0176mf,Belt,-1
/m/018xm,Ball,37
/m/01940j,Backpack,27
/m/019w40,Surfboard,42
/m/01b638,Boot,-1
/m/01b9xk,Hot dog,58
/m/01bfm9,Shorts,-1
/m/01bjv,Bus,6
/m/01bl7v,Boy,1
/m/01bms0,Screwdriver,-1
/m/01bqk0,Bicycle wheel,-1
/m/01btn,Barge,9
/m/01c648,Laptop,73
/m/01cmb2,Miniskirt,-1
/m/01d380,Drill (Tool),-1
/m/01d40f,Dress,-1
/m/01dws,Bear,23
/m/01dwsz,Waffle,-1
/m/01dwwc,Pancake,-1
/m/01dxs,Brown bear,23
/m/01dy8n,Woodpecker,16
/m/01f8m5,Blue jay,16
/m/01f91_,Pretzel,-1
/m/01fb_0,Bagel,-1
/m/01fh4r,Teapot,-1
/m/01g317,Person,1
/m/01gkx_,Swimwear,-1
/m/01h44,Bat (Animal),-1
/m/01h8tj,Starfish,-1
/m/01hrv5,Popcorn,-1
/m/01j3zr,Burrito,-1
/m/01j51,Balloon,-1
/m/01j5ks,Wrench,-1
/m/01jfm_,Vehicle registration plate,-1
/m/01k6s3,Toaster,80
/m/01kb5b,Flashlight,-1
/m/01lcw4,Limousine,3
/m/01lrl,Carnivore,-1
/m/01lsmm,Scissors,87
/m/01m2v,Computer keyboard,76
/m/01m4t,Printer,-1
/m/01mqdt,Traffic sign,-1
/m/01n4qj,Shirt,-1
/m/01nkt,Cheese,-1
/m/01nq26,Sock,-1
/m/01pns0,Fire hydrant,11
/m/01rkbr,Tie,32
/m/01s55n,Suitcase,33
/m/01tcjp,Muffin,61
/m/01x3jk,Snowmobile,-1
/m/01x3z,Clock,85
/m/01xq0k1,Cattle,21
/m/01xqw,Cello,-1
/m/01xs3r,Jet ski,-1
/m/01x_v,Camel,28
/m/01xyhv,Suit,-1
/m/01yrx,Cat,17
/m/01yx86,Bronze sculpture,-1
/m/01z1kdw,Juice,-1
/m/020lf,Computer mouse,74
/m/021mn,Cookie,-1
/m/0242l,Coin,-1
/m/024d2,Calculator,-1
/m/024g6,Cocktail,-1
/m/025dyy,Box,33
/m/025fsf,Stapler,-1
/m/025nd,Christmas tree,-1
/m/025rp__,Cowboy hat,-1
/m/026qbn5,Studio couch,63
/m/0271t,Drink,-1
/m/027pcv,Zucchini,-1
/m/027rl48,Ladle,50
/m/0283dt1,Human mouth,-1
/m/029b3,Dice,-1
/m/029bxz,Oven,79
/m/02crq1,Couch,63
/m/02ctlc,Cricket ball,37
