/m/0cmf2,Airplane,airplane
/m/0k5j,Aircraft,airplane
/m/01dws,Bear,bear
/m/01dxs,Brown bear,bear
/m/0633h,Polar bear,bear
/m/01btn,Barge,boat
/m/0ph39,Canoe,boat
/m/01yrx,Cat,cat
/m/01xq0k1,Cattle,cow
/m/0dbzx,Mule,cow
/m/0bt9lr,Dog,dog
/m/09ddx,Duck,duck
/m/0dbvp,Goose,duck
/m/0dftk,Swan,duck
/m/09csl,Eagle,eagle
/m/02l8p9,Harbor seal,earless_seal
/m/0gd36,Sea lion,earless_seal
/m/0bwd_0j,Elephant,elephant
/m/03fj2,Goldfish,fish
/m/0ch_cf,Fish,fish
/m/0306r,Fox,fox
/m/09ld4,Frog,frog
/m/03bj1,Panda,giant_panda
/m/06l9r,Red panda,giant_panda
/m/03bk1,Giraffe,giraffe
/m/0174n1,Glove,hand
/m/03grzl,Baseball glove,hand
/m/03k3r,Horse,horse
/m/0449p,Jaguar (Animal),leopard
/m/04g2r,Lynx,leopard
/m/0c29q,Leopard,leopard
/m/0cd4d,Cheetah,leopard
/m/04m9y,Lizard,lizard
/m/08pbxl,Monkey,monkey
/m/04_sv,Motorcycle,motorbike
/m/03qrc,Hamster,mouse
/m/04rmv,Mouse,mouse
/m/09d5_,Owl,owl
/m/0gv1x,Parrot,parrot
/m/01bl7v,Boy,person
/m/01g317,Person,person
/m/03bt1vf,Woman,person
/m/04yx4,Man,person
/m/05r655,Girl,person
/m/06mf6,Rabbit,rabbit
/m/0k4j,Car,sedan
/m/0pg52,Taxi,sedan
/m/0by6g,Shark,shark
/m/06_fw,Skateboard,skateboard
/m/078jl,Snake,snake
/m/019w40,Surfboard,surfboard
/m/05_5p_0,Table tennis racket,tennis_racket
/m/0h8my_4,Tennis racket,tennis_racket
/m/07dm6,Tiger,tiger
/m/07jdr,Train,train
/m/07r04,Truck,truck
/m/011k07,Tortoise,turtle
/m/0120dh,Sea turtle,turtle
/m/09dzg,Turtle,turtle
/m/0898b,Zebra,zebra
